,33,4400025,4400033,4400032,3300069,3300064,3300063,3300053,3300055,calc_output,output_given,Diff,Diff percent,calc_output_ratios,output_given_ratios,
Si,4386.124847,235.6799927,442.78736,4.5,0.027515,0.185485,0.0964522,0.01128,82.70099773,5152.11393,5260.48578,-108.37185,-2.060111073,44.42700613,44.98718358,-0.560177454
Fe,4484.114196,3.6,608.83262,4.309999847,0.1516615,0.285175,0.148291,0.0188,6.277500135,5107.738244,5161.428113,-53.68986862,-1.040213434,44.04435177,44.14005166,-0.095699891
Mg,3.9744,0.0037392,33.209052,0.4,0.005,499.5000077,259.740004,0.0752,0.01485,796.9222528,759.847946,37.07430683,4.879174448,6.871911276,6.49814874,0.373762536
Emg,0,0,0,0,0,0,0,0,0,0,721.8555487,-721.8555487,-100,0,6.173241303,-6.173241303
Ca,27.32676,0.096,5.534842,0.040000001,0.002251,0.12668,0.0658736,185.18,40.25699958,258.6294062,239.6443522,18.98505398,7.922178765,2.23017782,2.049416141,0.180761679
Ln,3.15836,0.0090384,5.534842,0.004100417,49.54986954,0.008245,0.0042874,0.00469436,0.031096656,58.30453377,63.40387292,-5.099339152,-8.042630391,0.502763703,0.542224006,-0.039460302
Al,54.39684276,0.360000024,5.534842,0.1,0.11,0.053705,0.052,0.0188,1.984500041,62.61068982,59.61883884,2.991850985,5.018297979,0.539895961,0.509854747,0.030041214
O2,0,0.312,0,0.080000001,0,0,0,0,0,0.392000001,52.6048578,-52.2128578,-99.25482167,0.003380241,0.449871836,-0.446491595
Ce,1.58148,0.0036552,7.748778689,0.0001,31.64500046,0.002695,0.0014014,0.0012596,0.00135,40.98572035,46.7598736,-5.774153251,-12.34852194,0.353422474,0.399886076,-0.046463603
Mn,41.29604,0.0271656,4.427873711,0.046000001,0.02234,0.040965,0.0213018,0.03639868,0.0675,45.98558479,43.21080738,2.774777415,6.421489399,0.396536623,0.369534793,0.02700183
La,1.08376,0.0020856,0.011069684,0.004,17.81500054,0.005275,0.002743,0.00301928,0.0216,18.9485531,15.79725516,3.151297936,19.94838915,0.163394579,0.135096652,0.028297926
Cr,14.75496092,0.008808,0.77487788,0.007,0.0006885,0.0057,0.002964,0.0071252,0.0135,15.5756245,13.97648297,1.599141534,11.44165909,0.134309601,0.119525578,0.014784022
Cu,13.45408,0.0129864,0.464926728,0.0085,0.0009035,0.00566,0.0029432,0.00152844,0.03375,13.98527827,10.30788565,3.677392621,35.67552791,0.120595944,0.088152076,0.032443868
Ni,7.50076,0.0035784,0.16604526,0.0046,0.000307,0.002225,0.001157,0.00080464,0,7.6794773,6.817400193,0.862077107,12.64524719,0.066220621,0.05830177,0.007918851
Ti,3.98176,0.06,0.509205464,0.0027,0.0011975,0.004225,0.002197,0.00161304,0.189,4.751898004,3.267159128,1.484738876,45.44433918,0.040975919,0.02794044,0.013035479
Mo,2.71584,0.0009144,0.121766524,0.0011,2.95E-05,0.000295,0.0001534,0.00015604,0,2.840254864,2.446047565,0.394207299,16.11609295,0.024491698,0.020918371,0.003573328
P,1.76732,0.0070296,0.265672416,0.0021,0,0.023355,0.0121446,0.00199844,0.05265,2.132270056,1.897059762,0.235210294,12.39867604,0.0183867,0.016223478,0.002163222
Nb,0,0.0012312,0,7.00E-05,2.70E-05,1.50E-05,7.80E-06,0.00017672,0,0.00152772,0.623078823,-0.621551103,-99.75481112,1.31736E-05,0.005328512,-0.005315338
Ba,0.67068,0.00888,1.1069684,0.05,0.0165,0.00088,0.0004576,0.02989012,0,1.88425612,0.58449842,1.2997577,222.3714651,0.01624806,0.004998576,0.011249484
V,0.89516,0.0044496,0.05534842,0.0004,0.0013455,0.075665,0.0393458,0.01901808,0.00405,1.0947824,0.537500071,0.557282329,103.6804196,0.009440378,0.00459665,0.004843728
C,0,0.036,0,0.0085,0.018,0.11,0.0572,0.2068,0.647999986,1.084499987,0.526961565,0.557538422,105.8024834,0.009351712,0.004506526,0.004845186
Co,0.56028,0.0021624,0.044278736,0.0004,0.0003155,0.00109,0.0005668,0.00045308,0,0.609546516,0.398804441,0.210742075,52.84346246,0.005256158,0.003410538,0.00184562
S,0,0.0024,0.044278736,0.0002,0.005,0.015,0.0078,0.07144,0,0.146118736,0.316176237,-0.170057501,-53.78566801,0.001259991,0.00270391,-0.001443919
Nd,0.12788,0.0016008,1.11E-07,2.40E-08,0.025,0.00015,7.80E-05,2.44E-05,0.0027,0.157433375,0.315944776,-0.158511401,-50.17060364,0.001357558,0.00270193,-0.001344372
Sn,0.17112,0.0002496,0,0.00012,1.25E-05,0.000715,0.0003718,0.00031208,0,0.17290098,0.305005304,-0.132104324,-43.31213982,0.001490936,0.002608377,-0.001117441
Pr,0.36616,0.0004152,2.21E-07,6.00E-08,0.055,5.50E-05,2.86E-05,9.40E-06,0.0054,0.427068481,0.265393846,0.161674636,60.91875847,0.003682639,0.002269623,0.001413015
Zr,0.51244,0.0052872,0.033209052,0.0003,6.60E-05,0.000725,0.000377,0.00129344,0,0.553697692,0.252941691,0.300756001,118.9032932,0.00477457,0.002163134,0.002611437
Sr,0.644,0.0044976,0.022139368,0.0005,9.05E-05,0.005345,0.0027794,0.0376,0.07425,0.791201868,0.209414094,0.581787774,277.8169144,0.006822584,0.00179089,0.005031694
Pb,0.17204,0.0011616,0.042064799,0.0004,0.0007345,0.000225,0.000117,0.00418676,0,0.220929659,0.031617858,0.189311802,598.7496195,0.001905091,0.000270393,0.001634698
As,0,6.48E-05,0,0.00035,0.0005645,0.03246,0.0168792,0.01648948,0,0.06680798,0.022553456,0.044254524,196.2205877,0.000576089,0.000192875,0.000383214
,,,,,,,,,,,,,,,,
,9051.351167,240.2553935,1117.272062,9.571440351,99.45442003,500.4920177,260.2799226,185.7503713,132.3796941,11596.80649,12467.75917,,,,,
,,,,,,,,,,,11693.29876,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,96.49227525,,,,
