,33,4400025,4400033,4400032,3300069,3300064,3300063,3300053,3300055,calc_output,output_given,diff
Cr,14.75496092,0.008808,0.77487788,0.007,0.0006885,0.0057,0.002964,0.0062535,0.015,15.5762528,13.9669182,1.609334604
Mn,41.29604,0.0271656,4.427873711,0.046000001,0.02234,0.040965,0.0213018,0.03194565,0.075,45.98863176,43.18123617,2.807395591
Si,4386.124847,235.6799927,442.78736,4.5,0.027515,0.185485,0.0964522,0.0099,91.88999748,5161.30155,5256.88578,-95.58423028
Ca,27.32676,0.096,5.534842,0.040000001,0.002251,0.12668,0.0658736,162.525,44.72999954,240.4474061,239.4803522,0.967053936
Al,54.39684276,0.360000024,5.534842,0.1,0.11,0.053705,0.052,0.0165,2.205000045,62.82888983,59.57803884,3.250850989
Ti,3.98176,0.06,0.509205464,0.0027,0.0011975,0.004225,0.002197,0.0014157,0.21,4.772700664,3.264923256,1.507777408
Zr,0.51244,0.0052872,0.033209052,0.0003,6.60E-05,0.000725,0.000377,0.0011352,0,0.553539452,0.252768591,0.300770861
P,1.76732,0.0070296,0.265672416,0.0021,0,0.023355,0.0121446,0.00175395,0.0585,2.137875566,1.895761514,0.242114052
Ce,1.58148,0.0036552,7.748778689,0.0001,31.64500046,0.002695,0.0014014,0.0011055,0.0015,40.98571625,46.7278736,-5.742157351
Ln,3.15836,0.0090384,5.534842,0.004100417,49.54986954,0.008245,0.0042874,0.00412005,0.03455184,58.30741464,63.36048264,-5.053068
Mg,3.9744,0.0037392,33.209052,0.4,0.005,499.5000077,259.740004,0.066,0.0165,796.9147028,759.327946,37.58675683
Ba,0.67068,0.00888,1.1069684,0.05,0.0165,0.00088,0.0004576,0.02623335,0,1.88059935,0.58409842,1.29650093
Sr,0.644,0.0044976,0.022139368,0.0005,9.05E-05,0.005345,0.0027794,0.033,0.0825,0.794851868,0.209270782,0.585581086
La,1.08376,0.0020856,0.011069684,0.004,17.81500054,0.005275,0.002743,0.0026499,0.024,18.95058372,15.78644435,3.164139367
Cu,13.45408,0.0129864,0.464926728,0.0085,0.0009035,0.00566,0.0029432,0.00134145,0.0375,13.98884128,10.30083147,3.688009806
Pr,0.36616,0.0004152,2.21E-07,6.00E-08,0.055,5.50E-05,2.86E-05,8.25E-06,0.006,0.427667331,0.265212224,0.162455107
Nd,0.12788,0.0016008,1.11E-07,2.40E-08,0.025,0.00015,7.80E-05,2.14E-05,0.003,0.157730385,0.31572856,-0.157998175
Ni,7.50076,0.0035784,0.16604526,0.0046,0.000307,0.002225,0.001157,0.0007062,0,7.67937886,6.812734723,0.866644137
V,0.89516,0.0044496,0.05534842,0.0004,0.0013455,0.075665,0.0393458,0.0166914,0.0045,1.09290572,0.537132234,0.555773486
Mo,2.71584,0.0009144,0.121766524,0.0011,2.95E-05,0.000295,0.0001534,0.00013695,0,2.840235774,2.444373619,0.395862155
Sn,0.17112,0.0002496,0,0.00012,1.25E-05,0.000715,0.0003718,0.0002739,0,0.1728628,0.304796574,-0.131933774
Co,0.56028,0.0021624,0.044278736,0.0004,0.0003155,0.00109,0.0005668,0.00039765,0,0.609491086,0.39853152,0.210959566
S,0,0.0024,0.044278736,0.0002,0.005,0.015,0.0078,0.0627,0,0.137378736,0.315959863,-0.178581127
Fe,4484.114196,3.6,608.83262,4.309999847,0.1516615,0.285175,0.148291,0.0165,6.97500015,5108.433444,5157.895902,-49.46245847
Emg,0,0,0,0,0,0,0,0,0,0,721.3615487,-721.3615487
Pb,0.17204,0.0011616,0.042064799,0.0004,0.0007345,0.000225,0.000117,0.00367455,0,0.220417449,0.03159622,0.188821229
C,0,0.036,0,0.0085,0.018,0.11,0.0572,0.1815,0.719999985,1.131199985,0.52660094,0.604599045
As,0,6.48E-05,0,0.00035,0.0005645,0.03246,0.0168792,0.01447215,0,0.06479065,0.022538022,0.042252628
Nb,0,0.0012312,0,7.00E-05,2.70E-05,1.50E-05,7.80E-06,0.0001551,0,0.0015061,0.62265242,-0.62114632
O2,0,0.312,0,0.080000001,0,0,0,0,0,0.392000001,52.5688578,-52.1768578
,,,,,,,,,,,,
,,,,,,,,,Total,11588.79056,12459.22689,
,,,,,,,,,,,11685.29649,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,96.50592069,,
